url,業種文脈,書体分類,font_family_実値,font_size,letter_spacing,line_height,font_weight,使用範囲,実装メモ,本人コメント
https://j-cat.co.jp/,IT・システム(コーポレート),ゴシック系(Canvas/WebGL描画のため厳密なfont-family値は取得不可),(CSS取得不可),-,-,-,-,ヒーロー+中間コピー,"Canvas/WebGL(Studioビルダー)によるレンダリングのためCSS実測不可。視覚的にはゴシック体、二行構成「日本の""光""を／未来へ繋ぐ。」、文字間はやや広め、中央の動画を挟んで左右に配置、余白多め。",ヒーローエリア中央に縦組で設置。ページ中間に印象となるコピーとを縦組で設置
https://www.shirahone.org/,暮らし商品・サービス(温泉旅館),明朝系(Hina Mincho),"Hina Mincho, serif",20px,normal,40px(=2.0em),500,全面(メインコピー+メニュー),メインコピー縦組、行間が文字サイズの2倍と非常にゆったり。メニューはZen Old Minchoの縦組13px。,"全体的に縦組の日本語を利用。メニューなど随所に利用している。フォントも特殊なフォントを利用している。""Hina Mincho"", serif"
https://meikei.ac.jp/,教育機関,ゴシック系(Noto Sans JP),"Noto Sans JP (YakuHanJP), sans-serif",25.7px,0.51px(≈0.02em),"25.7px(=1.0em,1文字ずつspan分割してアニメーション)",700,ヒーローのみ,ゴシック体太字。1文字ずつspan分割しスクロールアニメーションさせる実装。,ヒーローエリア中央に縦組で設置。その他では使用していない。
https://www.takachu.co.jp/recruit/,採用・リクルート,ゴシック系(Zen Kaku Gothic New),"Zen Kaku Gothic New, sans-serif",30px,normal,54px(=1.8em),700,ヒーロー+見出し,ゴシック体太字の縦組見出し。下線(under-line)を組み合わせている。,ヒーロー部分に加えて、印象的なエリアで縦組の見出しを使っている。ヒーローの文字に加えたunder-lineは印象的に良い
https://kajimanomori.co.jp/,不動産・建築・空間・施設(高級旅館),明朝系(Zen Old Mincho),"Zen Old Mincho, serif",22.78px,5.01px(≈0.22em、非常に広い),36.45px(=1.6em),400,部分(ポイント使用),明朝体、文字間を大きく開けることで高級旅館らしい余白のある品格を演出。,利用箇所は少ないが、ポイントとなる点で縦組を使っている。文字のレンダリングも参考になる
https://veryman.jp/,アート・メディア,不明(3D/WebGL描画のため厳密なfont-family値は取得不可),(CSS取得不可),-,-,-,-,ヒーロー+マガジンセクション,3D回転キューブ(WebGL/3D transform)による複雑な演出でCSS実測困難。ヒーロー部は横文字ロゴ+英語コピー中心、下部の「マガジン」セクションで横組見出しを縦に配置する変則的な見せ方をしている(詳細未確認)。,ヒーローの縦組が良いのと、ページ下部にある「マガジン」という表現が横ぐみを縦に設置している。このような見せ方もあり。通常は縦に見せるのを違った見せ方にすることで、より印象が残る
https://ginger.sakatashop.jp/,暮らし商品・サービス(EC),ゴシック系(A1ゴシック),A1ゴシック M JIS2004,14px,normal,14px(=1.0em、ナビ項目),400,ヒーロー(大)+ナビ(小),取得できたのはナビゲーション項目(14px)。本人コメントの「大きなフォントで大胆な縦組ヒーロー、文字間・行間を狭くして力強さを表現」というメインビジュアル部は動的要素のため未取得。ゴシック体。,このサイトの文字組は非常に良い。大きなフォントで大胆なレイアウトも全てCSSで設計されている。書体はsans-serif。文字間の設定や行間も意図的に狭くすることでフォントの力強さが表現されている。ページ途中にある横組の見出し文章もちょうど良い行間や文字間
https://tanica.jp/amazake/,暮らし商品・サービス(食品EC),ゴシック系(欧文+和文ゴシック合成),"neue-haas-grotesk-text, fot-cezanne-pron (欧文+和文ゴシックの合成)",10px,normal,12.38px(=1.24em),500,カード見出し,カード見出しクラスの縦組、小さめサイズでスッキリ見せている。欧文フォントと和文ゴシックを組み合わせ。,このサイトの縦組の設定もちょうど良い。ゴシック体をスッキリ見せている
https://syuzgen.com/,暮らし商品・サービス(酒蔵),ゴシック系(秀英角ゴシック銀),秀英角ゴシック銀 M JIS2004,24〜28px,1.2〜1.4px(≈0.05em),1.4〜1.6em,400,見出し,クリーンなゴシック体の縦組見出し。文字サイズに対して控えめな字間・広めの行間で読みやすさを保っている。,このサイトも「tanica.jp」と同様にちょうど良い設定。ボックス内の余白の取り方なども参考になる
https://www.obirin.ac.jp/,教育機関,明朝系(Noto Serif JP),"Noto Serif JP (YakuHanMP), serif",21px(ヒーロー)/18px(メニュー),4.83px(≈0.23em、ヒーロー)/0.72px(≈0.04em、メニュー),1.9em(ヒーロー)/1.09em(メニュー),400,ヒーロー+インタビュー引用,明朝体。ヒーローコピーは非常に開いた文字間で品格を演出、メニュー項目は字間を締めて機能的に。同一サイト内でも役割によって字間の開閉を使い分けている好例。,ヒーロー画面に設置された縦組と、ページ中央の教員インタビューの縦組は参考になる
https://www.unipos.co.jp/,採用・リクルート(IT),明朝系(ヒラギノ明朝 ProN、bold),"ヒラギノ明朝 ProN, Hiragino Mincho ProN",34〜38px,normal,34〜38px(=1.0em、非常にタイト),700,ヒーロー見出し,採用ヒーローの太字明朝縦組。行間を文字サイズと同じ(1.0em)まで詰めることで、明朝体でありながら力強く読ませている。,こちらの見出しの縦組も参考になります。
https://www.nasu-ougiya.com/,暮らし商品・サービス(和菓子),明朝系(Zen Old Mincho),"Zen Old Mincho, serif",16px(ナビ)/10px(フッター),1.6px(≈0.1em、ナビ),24px(=1.5em),600,全面(8割、本人コメント),和菓子店サイトでページの8割が縦組(本人コメント)。ナビゲーション項目を含めサイト全体を明朝縦組で統一し、字間をやや開けて上品に。,和菓子のサイト、8割の内容が縦組で設定している。
https://kei-inc.jp/,アート・デザインスタジオ,明朝系(筑紫Aオールド明朝),"TsukuAOldMinPr6(筑紫A オールド明朝), Hiragino Mincho Pro",17.8px(ヒーロー)/16px(見出し),normal,30.2px(=1.7em、ヒーロー),400,ヒーローコピー,デザインスタジオのポエティックなコピー「情報ではなく、景色として。」。文字サイズは小さめだが行間を1.7emまで広げ、周囲の余白と合わせて上質な間を作っている(本人コメント: 文字組が小さい割に余白がきちんとしていてバランスが良い)。1文字ずつspan分割したフェードインアニメーション。,日本語の文字組が小さい割にページの余白がきちんと設定されているので、全体のバランスが取れている
https://shiroyamakumano-jinja.jp/,不動産・建築・空間・施設(神社),明朝系(筑紫Aオールド明朝),"筑紫Aオールド明朝(FONTPLUS), fot-tsukuaoldmin-pr6n",15px,normal,22.5px(=1.5em),300,ナビゲーション全体,神社サイトのナビゲーションを全て縦組で統一(本人コメント)。ウェイト300の細字明朝で静謐な印象。,こちらも縦組を使いながらページのバランスが取れている。メニュー部分は全て縦組で設定されている。
