gallery_id,url,業種,タイプ,軸1_左,軸1_右,軸1_値0to10,軸2_左,軸2_右,軸2_値0to10,軸3_左,軸3_右,軸3_値0to10,投稿者コメント,背景色,文字色,フォント分類,フォント(生値),ボタン角丸px,角丸あり,動画あり,Canvas/WebGLあり,YouTube/Vimeo埋込,JSアニメライブラリ,動き系要素あり
23482,https://fmhr.co.jp/,企画・制作・開発,コーポレートサイト,ポップ,信頼・堅実,10,シンプル,賑やか,3,かわいい,かっこいい,9,キュートで可愛いデザイン！,#f9f9f9,#333333,ゴシック・sans系,"""Noto Sans JP""",0,False,True,False,False,,True
23488,https://sumai-okane.com/,暮らし・建築・不動産,コーポレートサイト,賑やか,シンプル,8,親しみやすい,堅実,4,スタイリッシュ,ポップ,7,オレンジが目をひくスピード感のあるサイト！,transparent,#251e1c,丸ゴシック系,"""Zen Maru Gothic""",10,True,False,False,False,,False
6018,https://bake-jp.com/,飲料・食品,コーポレートサイト,上品・リッチ,ポップ,1,賑やか,スタイリッシュ,8,かっこいい,かわいい,3,堅実だけどすっきり,#f0f0e9,#000000,明朝・serif系,yu-mincho-pr6n,0,False,False,False,False,,False
5978,https://www.serta-japan.jp/,暮らし・建築・不動産,ブランド・サービスサイト,真面目,親しみがある,5,柔らかい,硬い,7,落ち着きがある,活気がある,2,文字だけの斬新なデザイン,transparent,#072c52,ゴシック・sans系,FOT-筑紫ゴシック,,False,False,True,False,,True
5301,https://www.rydeenbeer.jp/,飲料・食品,ブランド・サービスサイト,シンプル,華やか,1,たおやか,力強い,8,柔らかい,硬い,8,エネルギッシュな新緑,#ffffff,#000000,ゴシック・sans系,FP-こぶりなゴシック,0,False,False,False,False,,False
23423,https://www.yki.jp/,金融・証券・保険・法律,コーポレートサイト,堅実・信頼感,個性的,1,かわいい,かっこいい,8,汎用性,専門性,10,丁寧な和の空気感,transparent,#154243,ゴシック・sans系,"""Noto Sans JP""",0,False,True,False,False,,True
23409,https://www.ha-ko.co.jp/,企画・制作・開発,コーポレートサイト,暗い,明るい,9,堅実・安心感,個性的,3,強い,やさしい,8,全部独り占めしたい秀逸なコンテンツ,transparent,#000000,ゴシック・sans系,"""Zen Kaku Gothic Antique""",30,True,False,False,False,,False
9465,https://nakamura-seihakusho.co.jp/,機械・電機・工業・流通,コーポレートサイト,シンプル,華やか,4,柔らかい,硬い,1,落ち着きがある,活気がある,1,ポップさと渋さの両立,transparent,#141414,明朝・serif系,"""Noto Serif JP""",0,False,False,False,False,lottie,True
8843,https://jf-itsuki.com/,農業・水産業・林業,コーポレートサイト,シンプル,華やか,2,柔らかい,硬い,8,落ち着きがある,活気がある,2,波をイメージしたアニメーションが印象的,transparent,#000000,ゴシック・sans系,"""Noto Sans JP""",,False,False,False,False,,False
2832,https://wani-nouen.com/,農業・水産業・林業,コーポレートサイト,明るい,暗い,1,真面目,遊び心がある,8,柔らかい,硬い,2,水と生きる,#ffffff,#333333,明朝・serif系,游明朝,0,False,False,False,False,,False
